fix,Pos,G,GS,MP,FG,FGA,FG.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS.G,TS.,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,average salary
jamesanderson,SG,80,62,28.9,3.9,9.0,0.431,0.511,1.0,1.3,0.726,0.7,3.0,3.8,1.9,0.9,0.4,1.3,1.9,10.1,0.53,0.14800000000000002,2.7,11.7,7.0,9.9,1.6,1.0,12.2,15.9,0.9,0.9,1.9,0.039,-1.2,-1.3,-2.5,-0.3,809973
giannisantetokounmpo,SF,77,23,24.6,2.2,5.4,0.414,0.46299999999999997,1.8,2.6,0.6829999999999999,1.0,3.4,4.4,1.9,0.8,0.8,1.6,2.2,6.8,0.518,0.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15.0,0.1,1.1,1.2,0.031,-2.5,0.7,-1.8,0.1,2871714
carmeloanthony,PF,77,77,38.7,9.6,21.3,0.452,0.503,6.0,7.0,0.848,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,27.4,0.561,0.32899999999999996,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,8.1,2.5,10.7,0.172,4.6,-1.0,3.6,4.2,21388954
peroantic,C,50,26,18.5,2.5,5.9,0.418,0.514,1.0,1.3,0.758,1.1,3.0,4.2,1.2,0.4,0.2,1.1,2.5,7.0,0.545,0.22399999999999998,7.2,18.9,13.1,9.8,1.0,1.0,14.5,18.6,0.5,0.9,1.4,0.075,-0.5,-0.9,-1.4,0.1,1225000
trevorariza,SF,77,77,35.4,5.1,11.1,0.456,0.562,1.9,2.5,0.772,1.3,4.9,6.2,2.5,1.6,0.3,1.7,2.3,14.4,0.59,0.226,4.1,16.3,10.1,10.8,2.4,0.6,12.3,17.8,4.3,3.7,8.0,0.141,2.3,1.1,3.4,3.6,6790640
darrellarthur,SF,68,1,17.1,2.4,6.0,0.395,0.424,0.8,0.9,0.855,0.8,2.3,3.1,0.9,0.6,0.7,0.9,2.7,5.9,0.45899999999999996,0.151,4.8,14.7,9.8,8.0,1.6,3.0,11.7,18.1,-0.5,1.2,0.7,0.028999999999999998,-3.8,1.0,-2.8,-0.2,4837500
omerasik,C,48,19,20.2,2.1,4.0,0.532,0.532,1.6,2.6,0.619,2.1,5.8,7.9,0.5,0.3,0.8,1.2,1.9,5.8,0.57,0.6629999999999999,12.3,30.1,21.7,3.8,0.7,2.8,19.4,13.8,1.0,1.5,2.4,0.121,-3.1,0.7,-2.4,-0.1,8374646
gustavoayon,C,26,14,16.5,2.0,3.9,0.51,0.51,0.3,0.8,0.4,1.6,3.2,4.8,1.1,1.0,0.4,1.1,1.8,4.3,0.505,0.196,11.4,22.3,16.9,10.0,3.0,1.8,20.7,14.8,0.0,0.7,0.7,0.078,-3.2,3.0,-0.2,0.2,1500000
jeffayres,PF,73,10,13.0,1.4,2.4,0.58,0.58,0.5,0.8,0.691,1.2,2.3,3.5,0.8,0.2,0.3,0.9,2.0,3.3,0.605,0.316,11.0,19.2,15.3,8.6,0.7,1.9,24.1,12.4,1.0,1.4,2.4,0.121,-1.6,2.1,0.5,0.6,1789375
lukebabbitt,PF,27,2,17.5,2.2,5.7,0.39,0.506,0.5,0.7,0.778,0.7,2.6,3.3,1.1,0.3,0.4,0.6,1.9,6.3,0.525,0.11699999999999999,4.4,17.5,10.8,9.4,0.8,1.9,8.5,17.0,0.5,0.2,0.7,0.07400000000000001,0.5,-1.9,-1.4,0.1,684540
andreabargnani,C,42,39,29.9,5.3,12.0,0.442,0.47200000000000003,2.0,2.4,0.8240000000000001,1.6,3.6,5.3,1.1,0.3,1.2,1.4,2.4,13.3,0.51,0.203,6.3,14.7,10.4,6.1,0.6,3.7,9.6,22.4,0.8,0.7,1.5,0.057999999999999996,-1.4,-1.0,-2.4,-0.1,10000000
harrisonbarnes,SF,78,24,28.3,3.5,8.7,0.39899999999999997,0.44799999999999995,1.7,2.3,0.718,0.8,3.1,4.0,1.5,0.8,0.3,1.1,2.0,9.5,0.486,0.267,3.3,11.9,7.7,7.6,1.5,0.7,10.0,16.8,0.4,2.8,3.2,0.07,-2.3,0.9,-1.4,0.3,2192970
mattbarnes,SF,63,40,27.5,3.7,8.4,0.43799999999999994,0.53,1.0,1.4,0.733,1.0,3.7,4.6,2.0,0.9,0.4,1.3,2.9,9.9,0.552,0.171,4.0,14.4,9.3,10.6,1.6,1.2,13.0,16.6,1.5,2.0,3.5,0.09699999999999999,0.7,0.8,1.5,1.5,3396250
willbarton,SG,41,0,9.4,1.6,3.8,0.41700000000000004,0.449,0.6,0.8,0.813,0.4,1.4,1.8,0.8,0.2,0.2,0.4,0.8,4.0,0.488,0.205,4.5,16.0,10.3,13.3,1.2,1.3,9.6,21.2,0.3,0.4,0.6,0.078,-1.9,-0.7,-2.7,-0.1,751372
brandonbass,PF,82,73,27.6,4.3,8.8,0.486,0.48700000000000004,2.5,2.9,0.858,2.0,3.8,5.7,1.1,0.4,0.9,1.2,2.3,11.1,0.5489999999999999,0.33,7.8,15.9,11.8,6.4,0.8,2.4,10.9,18.2,3.2,1.9,5.1,0.107,-1.3,0.2,-1.2,0.5,6450000
shanebattier,SF,73,56,20.1,1.4,3.8,0.382,0.515,0.2,0.3,0.652,0.5,1.4,1.9,0.9,0.7,0.5,0.3,1.7,4.1,0.523,0.084,3.0,8.6,5.9,6.0,1.8,2.3,6.9,10.0,1.0,1.4,2.4,0.078,0.1,0.7,0.8,1.1,3135000
nicolasbatum,SF,82,82,36.0,4.6,10.0,0.465,0.5539999999999999,2.0,2.5,0.8029999999999999,1.4,6.0,7.5,5.1,0.9,0.7,2.5,1.9,13.0,0.589,0.248,4.3,17.8,11.1,20.9,1.3,1.3,18.6,16.5,4.8,3.1,7.9,0.128,2.4,1.8,4.2,4.6,11530375
aronbaynes,C,53,4,9.3,1.3,3.1,0.436,0.436,0.4,0.4,0.905,1.1,1.7,2.7,0.6,0.0,0.1,0.7,1.5,3.0,0.467,0.129,13.6,19.4,16.6,9.9,0.2,0.7,17.3,19.2,-0.1,0.6,0.6,0.055,-3.7,-0.3,-4.0,-0.2,514230
bradleybeal,SG,73,73,34.7,6.6,15.7,0.419,0.479,2.0,2.6,0.7879999999999999,0.7,3.0,3.7,3.3,1.0,0.2,1.8,2.1,17.1,0.507,0.16399999999999998,2.4,10.2,6.3,16.0,1.4,0.6,9.4,24.3,1.6,2.4,4.0,0.076,0.2,-1.3,-1.1,0.5,4663129
michaelbeasley,SF,55,2,15.1,3.2,6.5,0.499,0.528,1.1,1.4,0.772,0.6,2.6,3.1,0.8,0.4,0.4,1.0,1.7,7.9,0.5589999999999999,0.223,4.9,20.5,13.0,8.8,1.5,2.2,12.8,25.7,0.5,1.1,1.6,0.092,-2.2,-1.2,-3.5,-0.3,1027424
marcobelinelli,SF,80,25,25.2,4.2,8.7,0.485,0.5760000000000001,1.4,1.6,0.847,0.2,2.6,2.8,2.2,0.6,0.1,1.2,1.6,11.4,0.605,0.188,1.0,11.2,6.3,13.2,1.3,0.3,11.2,19.0,3.5,2.4,5.9,0.14,1.9,-0.3,1.7,1.9,2811875
anthonybennett,PF,52,0,12.8,1.5,4.3,0.35600000000000004,0.384,0.8,1.3,0.638,0.9,2.0,3.0,0.3,0.4,0.2,0.9,1.8,4.2,0.425,0.307,8.1,18.4,13.1,4.0,1.6,1.0,15.5,20.3,-1.1,0.7,-0.4,-0.027999999999999997,-5.8,-1.5,-7.3,-0.9,5563920
patrickbeverley,PG,56,55,31.3,3.6,8.6,0.414,0.509,1.5,1.8,0.8140000000000001,1.3,2.2,3.5,2.7,1.4,0.4,1.2,3.1,10.2,0.545,0.212,4.9,7.4,6.2,12.8,2.2,1.0,11.2,14.8,2.7,1.6,4.2,0.11599999999999999,1.9,0.6,2.5,2.0,661830
bismackbiyombo,C,77,9,13.9,1.1,1.9,0.611,0.611,0.6,1.2,0.517,1.4,3.4,4.8,0.1,0.1,1.1,0.5,1.6,2.9,0.606,0.618,11.0,27.6,19.3,1.1,0.3,6.3,17.9,9.6,1.1,2.1,3.2,0.14400000000000002,-4.7,2.2,-2.5,-0.1,3161320
andrayblatche,PF,73,7,22.2,4.4,9.2,0.47600000000000003,0.48700000000000004,2.2,3.0,0.742,1.6,3.7,5.3,1.5,1.0,0.5,1.5,2.3,11.2,0.532,0.32799999999999996,8.9,19.9,14.4,12.8,2.4,2.0,12.5,25.6,1.6,2.1,3.7,0.109,-0.6,0.7,0.1,0.8,1406555
ericbledsoe,PG,43,40,32.9,6.2,12.9,0.47700000000000004,0.522,4.3,5.5,0.772,0.6,4.1,4.7,5.5,1.6,0.3,3.3,2.3,17.7,0.578,0.426,2.1,13.8,8.0,27.0,2.4,0.8,17.8,24.9,2.6,1.6,4.1,0.14,2.3,0.6,2.9,1.8,1853889
andrewbogut,C,67,67,26.4,3.5,5.6,0.627,0.627,0.3,1.0,0.344,2.7,7.3,10.0,1.7,0.7,1.8,1.4,3.1,7.3,0.61,0.171,11.4,29.7,20.7,9.3,1.3,5.2,19.4,12.4,2.4,4.0,6.5,0.17600000000000002,-1.2,5.6,4.4,2.8,12000000
mattbonner,PF,61,0,11.3,1.2,2.7,0.445,0.573,0.1,0.2,0.75,0.3,1.9,2.1,0.5,0.2,0.2,0.3,0.8,3.2,0.5820000000000001,0.073,2.7,17.9,10.6,6.1,1.1,1.2,8.6,12.1,0.8,1.0,1.8,0.12300000000000001,-0.4,0.7,0.3,0.4,3472500
trevorbooker,PF,72,45,21.6,3.1,5.6,0.551,0.551,0.7,1.1,0.618,2.1,3.2,5.3,0.9,0.6,0.6,0.8,1.8,6.8,0.563,0.18899999999999997,10.9,17.5,14.1,6.3,1.4,2.4,11.7,14.4,2.3,2.0,4.3,0.132,-1.1,1.3,0.2,0.8,1567895
carlosboozer,PF,76,76,28.2,5.9,12.9,0.456,0.456,1.9,2.5,0.767,1.8,6.5,8.3,1.6,0.7,0.3,2.0,2.8,13.7,0.489,0.19699999999999998,7.4,25.9,16.8,10.9,1.3,0.8,12.6,26.3,-0.9,4.3,3.4,0.076,-4.0,0.6,-3.4,-0.7,15000000
chrisbosh,C,79,79,32.0,6.2,12.1,0.516,0.555,2.8,3.4,0.82,1.2,5.4,6.6,1.1,1.0,1.0,1.6,2.4,16.2,0.597,0.285,5.1,20.3,13.0,5.8,1.7,2.7,10.4,22.6,4.6,3.4,8.0,0.152,0.5,0.0,0.5,1.6,18306250
averybradley,SG,60,58,30.9,6.0,13.8,0.43799999999999994,0.485,1.5,1.9,0.804,0.8,3.0,3.8,1.4,1.1,0.2,1.6,2.4,14.9,0.51,0.136,2.9,11.2,6.9,8.1,1.7,0.5,9.9,23.2,0.4,1.4,1.8,0.046,-1.1,-1.4,-2.5,-0.2,1771218
eltonbrand,C,73,15,19.4,2.5,4.5,0.539,0.539,0.8,1.3,0.649,1.3,3.6,4.9,1.0,0.5,1.2,0.8,2.6,5.7,0.561,0.28300000000000003,8.0,21.5,14.8,8.1,1.4,4.9,13.8,13.9,1.4,2.1,3.6,0.121,-2.7,3.1,0.5,0.9,4000000
coreybrewer,SF,81,81,32.2,4.8,10.0,0.48100000000000004,0.517,2.0,2.8,0.718,0.8,1.8,2.6,1.7,1.9,0.4,1.3,2.6,12.3,0.55,0.281,2.6,6.2,4.3,7.9,2.9,0.9,10.4,16.5,2.4,2.7,5.2,0.095,0.4,1.3,1.7,2.4,4702500
chasebudinger,SF,41,8,18.3,2.4,6.2,0.39399999999999996,0.47600000000000003,0.8,1.0,0.821,0.5,2.0,2.5,0.8,0.5,0.0,0.6,1.4,6.7,0.505,0.154,2.7,12.5,7.5,6.2,1.2,0.2,8.1,16.7,0.3,0.6,0.9,0.059000000000000004,-1.3,-1.3,-2.6,-0.1,5000000
reggiebullock,SF,43,0,9.2,1.0,2.8,0.355,0.446,0.2,0.2,0.778,0.3,1.0,1.3,0.3,0.2,0.0,0.3,0.6,2.7,0.46,0.07400000000000001,3.2,11.7,7.6,4.3,1.1,0.2,9.4,15.4,-0.2,0.3,0.2,0.019,-2.9,-1.8,-4.7,-0.3,1464451
treyburke,PG,70,68,32.3,4.9,12.8,0.38,0.442,1.5,1.6,0.903,0.5,2.4,3.0,5.7,0.6,0.1,1.9,2.1,12.8,0.473,0.126,1.8,9.0,5.3,29.4,1.0,0.2,12.2,21.8,1.0,0.0,0.9,0.02,0.5,-3.0,-2.5,-0.3,2758040
alecburks,SG,78,12,28.1,4.9,10.7,0.457,0.48700000000000004,3.6,4.8,0.748,0.8,2.5,3.3,2.7,0.9,0.2,1.9,2.4,14.0,0.547,0.449,3.0,10.7,6.8,16.9,1.7,0.5,13.0,23.9,2.6,0.6,3.2,0.07,0.5,-1.7,-1.2,0.5,2341929
jimmybutler,SG,67,67,38.7,4.1,10.3,0.397,0.446,3.9,5.0,0.769,1.3,3.6,4.9,2.6,1.9,0.5,1.5,1.6,13.1,0.522,0.488,3.9,10.5,7.2,11.1,2.6,1.1,10.8,16.8,2.4,4.6,7.1,0.131,0.0,2.4,2.4,2.9,1302377
rasualbutler,SG,50,2,7.6,1.0,2.2,0.46399999999999997,0.5820000000000001,0.2,0.3,0.5710000000000001,0.1,0.7,0.8,0.3,0.1,0.2,0.2,0.6,2.7,0.585,0.127,1.9,9.9,6.1,7.4,1.0,1.8,8.7,15.4,0.5,0.6,1.1,0.138,-0.6,-0.3,-0.9,0.1,1399507
willbynum,PG,56,3,18.8,3.3,7.7,0.428,0.451,1.7,2.2,0.802,0.4,1.3,1.8,3.9,0.7,0.1,1.8,2.2,8.7,0.502,0.281,2.4,8.2,5.1,32.5,1.9,0.5,17.6,23.8,0.6,0.4,1.0,0.047,-0.7,-2.8,-3.5,-0.4,2853126
nickcalathes,SG,71,7,16.5,2.0,4.4,0.457,0.48700000000000004,0.6,1.0,0.611,0.3,1.6,1.9,2.9,0.9,0.1,1.4,1.6,4.9,0.506,0.23199999999999998,2.3,11.5,6.9,26.5,3.0,0.6,22.8,17.5,-0.1,1.6,1.5,0.062,-1.9,0.8,-1.1,0.3,653331
josecalderon,PG,81,81,30.5,4.2,9.2,0.456,0.584,0.6,0.8,0.825,0.4,2.0,2.4,4.7,0.9,0.1,1.3,1.7,11.4,0.596,0.084,1.4,7.6,4.5,22.4,1.4,0.4,11.7,16.2,5.4,0.8,6.3,0.122,3.3,-2.0,1.3,2.1,7250000
kentaviouscaldwellpope,SG,80,41,19.8,2.3,5.8,0.396,0.46,0.6,0.8,0.77,0.5,1.5,2.0,0.7,0.9,0.2,0.4,1.8,5.9,0.483,0.133,2.5,8.6,5.4,5.0,2.4,0.6,5.4,13.9,1.0,0.8,1.8,0.055,-1.2,-0.8,-2.1,0.0,2998910
demarrecarroll,SF,73,73,32.1,4.1,8.8,0.47,0.546,1.5,1.9,0.773,1.5,4.1,5.5,1.8,1.5,0.3,1.1,2.6,11.1,0.575,0.22,5.3,14.5,10.0,8.9,2.3,0.7,10.1,15.2,3.2,2.6,5.8,0.11900000000000001,1.0,1.1,2.1,2.4,2500000
vincecarter,SG,81,0,24.4,4.1,10.0,0.40700000000000003,0.49700000000000005,2.0,2.4,0.821,0.8,2.7,3.5,2.6,0.8,0.4,1.3,2.6,11.9,0.539,0.242,4.0,12.6,8.3,16.5,1.6,1.5,10.7,23.1,3.0,1.3,4.3,0.105,2.2,-1.0,1.1,1.6,3090000
michaelcarterwilliams,PG,70,70,34.5,6.1,15.1,0.405,0.431,3.7,5.2,0.703,1.4,4.8,6.2,6.3,1.9,0.6,3.5,3.0,16.7,0.48,0.348,4.3,15.6,9.8,30.2,2.6,1.4,16.9,25.7,-0.8,2.1,1.3,0.026000000000000002,-0.6,0.4,-0.2,1.1,2520882
omricasspi,PF,71,2,18.1,2.4,5.8,0.42200000000000004,0.496,1.2,1.7,0.68,0.8,2.9,3.7,1.2,0.6,0.2,1.0,1.4,6.9,0.528,0.298,5.1,16.8,11.3,10.5,1.7,0.8,13.4,18.3,1.0,1.4,2.4,0.091,-0.6,-0.2,-0.8,0.4,1005646
mariochalmers,PG,73,73,29.8,3.5,7.7,0.45399999999999996,0.531,1.7,2.2,0.742,0.6,2.4,2.9,4.9,1.6,0.2,2.2,2.9,9.8,0.5670000000000001,0.29100000000000004,2.5,9.6,6.2,24.3,2.9,0.6,20.4,17.4,2.4,2.5,4.8,0.106,1.0,0.2,1.2,1.7,4000000
tysonchandler,C,55,55,30.2,3.5,5.9,0.593,0.593,1.8,2.8,0.632,2.9,6.7,9.6,1.1,0.7,1.1,1.3,2.6,8.7,0.615,0.48100000000000004,10.9,27.0,18.7,5.5,1.2,3.4,15.4,12.9,3.1,1.9,4.9,0.14300000000000002,-0.6,1.8,1.3,1.4,13852363
wilsonchandler,SF,62,55,31.1,5.0,11.9,0.41600000000000004,0.499,1.8,2.5,0.7240000000000001,0.9,3.8,4.7,1.8,0.7,0.5,1.3,3.1,13.6,0.526,0.20600000000000002,3.2,13.3,8.2,9.3,1.2,1.2,8.9,19.5,1.8,1.2,3.1,0.076,0.7,-0.6,0.2,1.1,6344163
diontechristmas,SF,31,0,6.4,0.7,2.0,0.355,0.42700000000000005,0.6,0.8,0.75,0.4,0.8,1.2,0.3,0.1,0.1,0.2,0.6,2.3,0.489,0.387,7.4,14.1,10.8,5.8,0.5,1.1,7.6,17.4,0.2,0.1,0.3,0.083,-1.1,-2.5,-3.6,-0.1,653331
norriscole,PG,82,6,24.6,2.5,6.1,0.414,0.474,0.6,0.8,0.779,0.2,1.7,2.0,3.0,0.9,0.1,1.5,1.9,6.4,0.49700000000000005,0.136,1.1,8.6,5.0,17.9,2.0,0.2,19.3,15.6,-0.5,1.7,1.2,0.028999999999999998,-2.2,-0.8,-3.0,-0.5,1082560
darrencollison,PG,80,35,25.9,4.1,8.7,0.467,0.518,2.4,2.8,0.857,0.6,1.8,2.4,3.7,1.2,0.2,1.7,1.9,11.4,0.575,0.32299999999999995,2.6,7.3,5.0,21.9,2.2,0.6,14.3,19.7,3.8,2.0,5.9,0.136,1.4,-0.4,1.0,1.6,1942750
nickcollison,PF,81,0,16.7,1.7,3.0,0.556,0.564,0.8,1.1,0.71,1.4,2.2,3.6,1.3,0.4,0.3,0.9,2.3,4.2,0.599,0.386,10.2,14.1,12.2,10.9,1.1,1.7,20.1,11.6,2.0,1.6,3.6,0.128,-0.5,1.1,0.6,0.9,2757500
mikeconley,PG,73,73,33.5,6.3,14.1,0.45,0.5,3.1,3.8,0.815,0.6,2.4,2.9,6.0,1.5,0.2,2.1,1.9,17.2,0.545,0.268,2.0,8.4,5.2,30.1,2.4,0.4,11.5,24.6,5.5,2.7,8.2,0.161,4.1,-0.7,3.4,3.3,8000000
chriscopeland,SF,41,0,6.5,1.3,2.9,0.47,0.611,0.2,0.3,0.7140000000000001,0.2,0.6,0.8,0.4,0.1,0.2,0.3,0.9,3.7,0.621,0.12,3.1,10.1,6.8,12.6,0.6,2.0,10.2,23.7,0.6,0.4,1.0,0.18600000000000003,3.5,-2.1,1.4,0.2,3067500
demarcuscousins,C,71,71,32.4,8.3,16.8,0.496,0.496,6.1,8.4,0.726,3.1,8.6,11.7,2.9,1.5,1.3,3.5,3.8,22.7,0.555,0.5,10.6,30.5,20.4,17.8,2.4,3.2,14.7,32.7,4.1,3.8,7.9,0.166,1.9,2.9,4.7,3.9,3950033
jamalcrawford,SG,69,24,30.3,6.1,14.7,0.41600000000000004,0.496,4.0,4.7,0.866,0.5,1.8,2.3,3.2,0.9,0.2,2.0,1.7,18.6,0.556,0.318,1.9,6.4,4.2,17.4,1.4,0.4,10.5,27.2,3.8,1.5,5.3,0.122,2.7,-2.6,0.2,1.2,5337500
jaecrowder,SF,78,8,16.1,1.7,3.8,0.439,0.524,0.6,0.8,0.754,0.6,1.9,2.5,0.8,0.8,0.3,0.5,1.3,4.6,0.551,0.20600000000000002,4.3,13.5,8.9,6.7,2.4,1.4,11.3,13.2,1.2,1.1,2.3,0.08900000000000001,0.0,0.6,0.6,0.8,768202
dantecunningham,PF,81,7,20.2,2.9,6.3,0.46399999999999997,0.46399999999999997,0.5,0.8,0.5670000000000001,1.4,2.7,4.1,1.0,0.8,0.7,0.5,1.8,6.3,0.474,0.132,7.3,14.9,11.0,7.7,1.9,2.7,7.2,15.1,0.9,2.0,2.9,0.085,-2.2,2.1,-0.1,0.8,2090000
stephencurry,PG,78,78,36.5,8.4,17.7,0.47100000000000003,0.5660000000000001,3.9,4.5,0.885,0.6,3.7,4.3,8.5,1.6,0.2,3.8,2.5,24.0,0.61,0.252,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,9.3,4.0,13.4,0.225,7.4,0.0,7.4,6.7,11000000
samueldalembert,C,80,68,20.2,2.7,4.7,0.568,0.568,1.3,1.7,0.737,2.5,4.3,6.8,0.5,0.5,1.2,1.1,2.6,6.6,0.605,0.363,14.4,24.2,19.4,3.4,1.3,4.8,17.1,14.8,2.9,2.1,4.9,0.147,-0.9,1.5,0.6,1.1,3784015
luigidatome,SF,34,0,7.0,1.0,2.9,0.35100000000000003,0.387,0.2,0.3,0.8,0.4,0.9,1.4,0.3,0.2,0.0,0.3,0.6,2.4,0.409,0.10300000000000001,6.1,15.5,10.6,7.0,1.3,0.3,9.8,20.2,-0.2,0.1,-0.1,-0.023,-3.8,-3.2,-7.0,-0.3,1750000
brandondavies,PF,51,0,11.3,1.1,2.5,0.42200000000000004,0.43,0.7,1.0,0.642,0.7,1.4,2.1,0.5,0.5,0.2,0.7,1.8,2.8,0.47600000000000003,0.414,6.9,13.9,10.2,7.1,2.0,1.1,18.8,13.7,-0.3,0.4,0.1,0.008,-5.3,-0.6,-5.9,-0.6,751313
anthonydavis,PF,67,66,35.2,7.8,15.0,0.519,0.52,5.2,6.6,0.7909999999999999,3.1,7.0,10.0,1.6,1.3,2.8,1.6,3.0,20.8,0.5820000000000001,0.43799999999999994,10.0,23.3,16.6,8.0,2.0,6.7,8.3,25.2,7.2,3.2,10.4,0.212,2.3,2.2,4.5,3.9,5799503
eddavis,PF,63,4,15.2,2.5,4.6,0.534,0.534,0.7,1.4,0.528,1.5,2.7,4.1,0.4,0.3,0.7,0.6,1.8,5.7,0.542,0.307,11.4,20.9,16.1,4.5,0.9,3.7,10.8,17.8,1.2,1.4,2.6,0.129,-1.9,0.5,-1.3,0.2,2335775
matthewdellavedova,SG,72,4,17.7,1.7,4.1,0.41200000000000003,0.508,0.5,0.7,0.792,0.4,1.3,1.7,2.6,0.5,0.1,0.8,1.7,4.7,0.534,0.162,2.5,8.5,5.4,22.1,1.3,0.3,15.9,13.2,1.4,0.7,2.1,0.078,-0.5,-1.7,-2.1,0.0,653331
demarderozan,SG,79,79,38.2,7.6,17.8,0.429,0.452,6.6,8.0,0.8240000000000001,0.6,3.7,4.3,4.0,1.1,0.4,2.2,2.5,22.7,0.532,0.44799999999999995,2.0,11.3,6.6,18.9,1.5,0.7,9.5,28.0,5.8,3.0,8.8,0.141,1.4,-0.7,0.7,2.0,9500000
borisdiaw,PF,79,24,25.0,3.8,7.3,0.521,0.5589999999999999,0.9,1.2,0.7390000000000001,0.9,3.2,4.1,2.8,0.6,0.4,1.5,1.8,9.1,0.578,0.159,4.4,13.8,9.3,16.3,1.1,1.2,16.3,17.0,2.3,2.6,4.9,0.12,0.2,1.4,1.6,1.8,4601250
gorguidieng,C,60,15,13.6,1.9,3.8,0.498,0.5,1.0,1.6,0.634,1.7,3.3,5.0,0.7,0.5,0.8,0.9,1.8,4.8,0.534,0.41,13.4,26.9,20.0,7.2,1.8,4.6,16.8,16.8,0.7,1.5,2.2,0.129,-2.4,3.1,0.7,0.5,1647336
chrisdouglasroberts,SF,49,8,20.7,2.3,5.1,0.44,0.542,1.3,1.7,0.805,0.3,2.1,2.4,1.0,0.6,0.3,0.7,1.2,6.9,0.588,0.325,1.8,11.5,6.6,7.9,1.5,1.2,11.1,14.7,1.1,1.2,2.4,0.113,-0.3,0.4,0.1,0.5,708142
